beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name
0.047	Pregnancy, childbirth and the puerperium	O15_ABORT_SPONTAN	Spontaneous abortion	0.3882	O15_ABORT_SPONTAN	Spontaneous abortion	Pregnancy, childbirth and the puerperium
0.1144	Neoplasms from hospital discharges	CD2_BENIGN_PAROTID	Benign neoplasm: Parotid gland	0.3883	CD2_BENIGN_PAROTID	Benign neoplasm: Parotid gland	Neoplasms from hospital discharges
-0.1764	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ISOLATED_PROTEINU	Isolated proteinuria	0.3884	R18_ISOLATED_PROTEINU	Isolated proteinuria	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.0495	Diseases of the eye and adnexa	H7_VITROTH	Other and unspecified disorders of vitreous body	0.3886	H7_VITROTH	Other and unspecified disorders of vitreous body	Diseases of the eye and adnexa
0.2299	Injury, poisoning and certain other consequences of external causes	ST19_INJURY_NERVES_SPINAL_CORD_NECK_LEVEL	Injury of nerves and spinal cord at neck level	0.3889	ST19_INJURY_NERVES_SPINAL_CORD_NECK_LEVEL	Injury of nerves and spinal cord at neck level	Injury, poisoning and certain other consequences of external causes
-0.0523	Diseases of the genitourinary system	N14_CALCUKIDUR	Calculus of kidney and ureter	0.389	N14_CALCUKIDUR	Calculus of kidney and ureter	Diseases of the genitourinary system
0.1074	Diseases of the nervous system	G6_MYOPOTHUNS	Other and unspecified myopathies	0.3891	G6_MYOPOTHUNS	Other and unspecified myopathies	Diseases of the nervous system
0.287	Psychiatric endpoints	KRA_PSY_TIC_EXMORE	Tic disorders (more controls excluded)	0.3895	KRA_PSY_TIC_EXMORE	Tic disorders (more controls excluded)	Psychiatric endpoints
-0.1062	Interstitial lung disease endpoints	ILD_HOSPITAL_PULM_INFECT	ILD, hospital admission 2, with pulmonary infections	0.3902	ILD_HOSPITAL_PULM_INFECT	ILD, hospital admission 2, with pulmonary infections	Interstitial lung disease endpoints
-0.1931	Pregnancy, childbirth and the puerperium	O15_PLAC_PREMAT_SEPAR	Premature separation of placenta [abruptio placentae]	0.3907	O15_PLAC_PREMAT_SEPAR	Premature separation of placenta [abruptio placentae]	Pregnancy, childbirth and the puerperium
0.019	Diseases of the ear and mastoid process	H8_EAR	Diseases of the ear and mastoid process	0.3912	H8_EAR	Diseases of the ear and mastoid process	Diseases of the ear and mastoid process
-0.0652	Neoplasms from cancer register	C3_COLORECTAL_EXALLC	Colorectal cancer (other cancers excluded from controls)	0.3918	C3_COLORECTAL_EXALLC	Colorectal cancer (other cancers excluded from controls)	Neoplasms from cancer register
0.0479	Diseases of the digestive system	K11_IBD	Inflammatory bowel disease	0.3919	K11_IBD	Inflammatory bowel disease	Diseases of the digestive system
0.114	Rheuma endpoints	REAC_ARTHRO_NOS	Other/unspecified reactive arthropathies	0.3919	REAC_ARTHRO_NOS	Other/unspecified reactive arthropathies	Rheuma endpoints
0.0516	Neoplasms from cancer register	C3_PROSTATE	Malignant neoplasm of prostate	0.3921	C3_PROSTATE	Malignant neoplasm of prostate	Neoplasms from cancer register
0.1587	Factors influencing health status and contact with health services	Z21_FAMILY_HISTORY_CERTA_DISABILITI_CHRONIC_DISEA_LEADI_DISABL	Family history of certain disabilities and chronic diseases leading to disablement	0.3925	Z21_FAMILY_HISTORY_CERTA_DISABILITI_CHRONIC_DISEA_LEADI_DISABL	Family history of certain disabilities and chronic diseases leading to disablement	Factors influencing health status and contact with health services
-0.1019	Diseases of the genitourinary system	N14_MENOPAUSOT	Other menopausal disorders	0.3937	N14_MENOPAUSOT	Other menopausal disorders	Diseases of the genitourinary system
0.1131	Neoplasms from hospital discharges	CD2_BENIGN_PAROTID_EXALLC	Benign neoplasm: Parotid gland (other cancers excluded from controls)	0.3951	CD2_BENIGN_PAROTID_EXALLC	Benign neoplasm: Parotid gland (other cancers excluded from controls)	Neoplasms from hospital discharges
0.1583	Endocrine, nutritional and metabolic diseases	E4_HYPERLIPMIX	Mixed hyperlipidaemia	0.3951	E4_HYPERLIPMIX	Mixed hyperlipidaemia	Endocrine, nutritional and metabolic diseases
-0.1774	Pregnancy, childbirth and the puerperium	O15_BIRTH_BREAT_INFECT	Infections of breast associated with childbirth	0.3963	O15_BIRTH_BREAT_INFECT	Infections of breast associated with childbirth	Pregnancy, childbirth and the puerperium
-0.1857	Injury, poisoning and certain other consequences of external causes	ST19_BURN_CORROSION_TRUNK	Burn and corrosion of trunk	0.3963	ST19_BURN_CORROSION_TRUNK	Burn and corrosion of trunk	Injury, poisoning and certain other consequences of external causes
-0.0816	Pregnancy, childbirth and the puerperium	O15_LABOUR_ABNORM_FORCES	Abnormalities of forces of labour	0.3976	O15_LABOUR_ABNORM_FORCES	Abnormalities of forces of labour	Pregnancy, childbirth and the puerperium
0.0288	Diseases of the musculoskeletal system and connective tissue	M13_SPONDYLOPATHY	Spondylopathies	0.398	M13_SPONDYLOPATHY	Spondylopathies	Diseases of the musculoskeletal system and connective tissue
-0.2514	Diseases of the digestive system	K11_TOXLIV	Toxic liver disease	0.3982	K11_TOXLIV	Toxic liver disease	Diseases of the digestive system
0.054	Diseases of the genitourinary system	N14_DYSPLACERVUT	Dysplasia of cervi uteri	0.3987	N14_DYSPLACERVUT	Dysplasia of cervi uteri	Diseases of the genitourinary system
0.0802	Gastrointestinal endpoints	CIRRHOSIS_BROAD	Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	0.3989	CIRRHOSIS_BROAD	Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523	Gastrointestinal endpoints
0.0984	Diseases of the circulatory system	I9_HYPTENSEC	Secondary hypertension	0.3992	I9_HYPTENSEC	Secondary hypertension	Diseases of the circulatory system
0.1003	Injury, poisoning and certain other consequences of external causes	ST19_SUPERF_INJURY_FOREA	Superficial injury of forearm	0.3992	ST19_SUPERF_INJURY_FOREA	Superficial injury of forearm	Injury, poisoning and certain other consequences of external causes
0.1038	Diseases of the skin and subcutaneous tissue	L12_CORNSANDCALLOS	Corns and callosities	0.3993	L12_CORNSANDCALLOS	Corns and callosities	Diseases of the skin and subcutaneous tissue
0.0612	Factors influencing health status and contact with health services	Z21_OTHER_MEDICAL_CARE	Other medical care	0.3994	Z21_OTHER_MEDICAL_CARE	Other medical care	Factors influencing health status and contact with health services
0.047	Diabetes endpoints	DM_SEVERAL_COMPLICATIONS	Diabetes, several complications	0.4021	DM_SEVERAL_COMPLICATIONS	Diabetes, several complications	Diabetes endpoints
-0.108	Injury, poisoning and certain other consequences of external causes	ST19_INJURY_MUSCLE_TENDON_HIP_THIGH_LEVEL	Injury of muscle and tendon at hip and thigh level	0.4022	ST19_INJURY_MUSCLE_TENDON_HIP_THIGH_LEVEL	Injury of muscle and tendon at hip and thigh level	Injury, poisoning and certain other consequences of external causes
-0.1127	Interstitial lung disease endpoints	ILD_HOSPITAL_PNEUMONIA_SEPSIS	ILD, hospital admissions 3, with pneumonia sepsis	0.4028	ILD_HOSPITAL_PNEUMONIA_SEPSIS	ILD, hospital admissions 3, with pneumonia sepsis	Interstitial lung disease endpoints
-0.2744	Other	VWXY20_EVIDE_ALCOHOL_INVOLVM_DETERM_BLOOD_ALCOHOL_LEVEL	Evidence of alcohol involvement determined by blood alcohol level	0.4034	VWXY20_EVIDE_ALCOHOL_INVOLVM_DETERM_BLOOD_ALCOHOL_LEVEL	Evidence of alcohol involvement determined by blood alcohol level	Other
0.0721	Neoplasms from hospital discharges	CD2_BENIGN_SKIN_EYELID	Benign neoplasm: Skin of eyelid, including canthus	0.4053	CD2_BENIGN_SKIN_EYELID	Benign neoplasm: Skin of eyelid, including canthus	Neoplasms from hospital discharges
0.0174	Diseases of the circulatory system	I9_OTHHEART	Other heart diseases	0.4064	I9_OTHHEART	Other heart diseases	Diseases of the circulatory system
0.027	Diseases of the musculoskeletal system and connective tissue	M13_ARTHROSIS_KNEE_PRIM_ICD10	Gonarthrosis,primary	0.4069	M13_ARTHROSIS_KNEE_PRIM_ICD10	Gonarthrosis,primary	Diseases of the musculoskeletal system and connective tissue
-0.2602	Diseases of the musculoskeletal system and connective tissue	M13_DISCITIS	Discitis, unspecified	0.4076	M13_DISCITIS	Discitis, unspecified	Diseases of the musculoskeletal system and connective tissue
0.0289	Diseases of the circulatory system	I9_CORATHER	Coronary atherosclerosis	0.4079	I9_CORATHER	Coronary atherosclerosis	Diseases of the circulatory system
0.214	Diseases of the skin and subcutaneous tissue	L12_PARAPSORI	Parapsoriasis	0.4081	L12_PARAPSORI	Parapsoriasis	Diseases of the skin and subcutaneous tissue
-0.1481	Neoplasms from hospital discharges	CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth	0.4085	CD2_BENIGN_MOUTH_NOS	Benign neoplasm: Other and unspecified parts of mouth	Neoplasms from hospital discharges
0.0787	Diseases of the ear and mastoid process	H8_HL_MIX_NAS	Mixed conductive and sensorineural hearing loss	0.4091	H8_HL_MIX_NAS	Mixed conductive and sensorineural hearing loss	Diseases of the ear and mastoid process
-0.1728	Diseases of the eye and adnexa	H7_RETINALDETACHOTH	Other, unspecified and serous retinal detachments	0.4092	H7_RETINALDETACHOTH	Other, unspecified and serous retinal detachments	Diseases of the eye and adnexa
0.0722	Diseases of the genitourinary system	N14_INFLUTH	Inflammatory disease of uterus	0.4093	N14_INFLUTH	Inflammatory disease of uterus	Diseases of the genitourinary system
-0.1853	Injury, poisoning and certain other consequences of external causes	ST19_EFFEC_OTHER_EXTER_CAUSES	Effects of other external causes	0.4096	ST19_EFFEC_OTHER_EXTER_CAUSES	Effects of other external causes	Injury, poisoning and certain other consequences of external causes
-0.1183	Diseases of the musculoskeletal system and connective tissue	M13_DEQUERVAIN	Radial styloid tenosynovitis [de Quervain]	0.4101	M13_DEQUERVAIN	Radial styloid tenosynovitis [de Quervain]	Diseases of the musculoskeletal system and connective tissue
-0.0664	Psychiatric endpoints	KRA_PSY_ALCOH	Alcohol abuse, main dg	0.4103	KRA_PSY_ALCOH	Alcohol abuse, main dg	Psychiatric endpoints
-0.18	Diseases of the skin and subcutaneous tissue	L12_ERYTH_NAS	Other and unspecified erythematous conditions	0.411	L12_ERYTH_NAS	Other and unspecified erythematous conditions	Diseases of the skin and subcutaneous tissue
-0.1602	Pregnancy, childbirth and the puerperium	O15_GESTAT_OEDEM_PREINUR	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	0.411	O15_GESTAT_OEDEM_PREINUR	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	Pregnancy, childbirth and the puerperium
-0.2055	Other	VWXY20_BLOOD_ALCOHOL_ALCOHOL_INTOX_LEVEL	Blood alcohol or alcohol intoxication level	0.4113	VWXY20_BLOOD_ALCOHOL_ALCOHOL_INTOX_LEVEL	Blood alcohol or alcohol intoxication level	Other
-0.1474	Neoplasms from hospital discharges	CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls)	0.4114	CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.1516	Diseases of the eye and adnexa	H7_EYELIDINOTH	Disorders of eyelid in diseases classified elsewhere	0.4114	H7_EYELIDINOTH	Disorders of eyelid in diseases classified elsewhere	Diseases of the eye and adnexa
-0.0376	Asthma and related endpoints	PNEUMOBACTKNOWN	Bacterial pneumonia (organism specified)	0.4116	PNEUMOBACTKNOWN	Bacterial pneumonia (organism specified)	Asthma and related endpoints
-0.095	Congenital malformations, deformations and chromosomal abnormalities	Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM	Congenital malformations and deformations of the musculoskeletal system	0.413	Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM	Congenital malformations and deformations of the musculoskeletal system	Congenital malformations, deformations and chromosomal abnormalities
-0.0918	Diseases of the nervous system	G6_DIABETNEUR	Diabethic neuropathy	0.4132	G6_DIABETNEUR	Diabethic neuropathy	Diseases of the nervous system
-0.0255	Pregnancy, childbirth and the puerperium	O15_PREG_ABORT	Pregnancy with abortive outcome	0.4138	O15_PREG_ABORT	Pregnancy with abortive outcome	Pregnancy, childbirth and the puerperium
-0.2086	Diseases of the skin and subcutaneous tissue	L12_OTHERMELANIN	Other melanin hyperpigmentation	0.4146	L12_OTHERMELANIN	Other melanin hyperpigmentation	Diseases of the skin and subcutaneous tissue
0.0222	Diseases of the musculoskeletal system and connective tissue	M13_DORSALGIA	Dorsalgia	0.4153	M13_DORSALGIA	Dorsalgia	Diseases of the musculoskeletal system and connective tissue
0.202	Diseases of the respiratory system	J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust	0.4155	J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust	Diseases of the respiratory system
0.0707	Neoplasms from hospital discharges	CD2_BENIGN_SKIN_EYELID_EXALLC	Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)	0.4156	CD2_BENIGN_SKIN_EYELID_EXALLC	Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)	Neoplasms from hospital discharges
0.1198	Gastrointestinal endpoints	CHRONLARGE	Crohn's disease of large intestine	0.4156	CHRONLARGE	Crohn's disease of large intestine	Gastrointestinal endpoints
-0.121	Other	MENINGITIS	Meningitis	0.416	MENINGITIS	Meningitis	Other
-0.0714	Diseases of the eye and adnexa	DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	0.4162	DRY_AMD	Dry age-related macular degeneration (includes geographic atrophy)	Diseases of the eye and adnexa
0.0859	Diseases of the musculoskeletal system and connective tissue	M13_REACTARTH	Reactive arthropathies	0.4163	M13_REACTARTH	Reactive arthropathies	Diseases of the musculoskeletal system and connective tissue
0.0529	Injury, poisoning and certain other consequences of external causes	ST19_SEQUEL_INJURI_POISO_OTHER_CONSE_EXTER_CAUSES	Sequelae of injuries, of poisoning and of other consequences of external causes	0.4164	ST19_SEQUEL_INJURI_POISO_OTHER_CONSE_EXTER_CAUSES	Sequelae of injuries, of poisoning and of other consequences of external causes	Injury, poisoning and certain other consequences of external causes
0.0431	Diseases of the genitourinary system	N14_FEMALEINFERT	Female infertility	0.4165	N14_FEMALEINFERT	Female infertility	Diseases of the genitourinary system
-0.1929	Diseases of the skin and subcutaneous tissue	L12_DERMATHERP	Dermatitis herpetiformis	0.4184	L12_DERMATHERP	Dermatitis herpetiformis	Diseases of the skin and subcutaneous tissue
-0.1137	Gastrointestinal endpoints	ULCERPROCT	Ulcerative proctitis	0.4187	ULCERPROCT	Ulcerative proctitis	Gastrointestinal endpoints
-0.0357	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_FINDI_SECRE_SMEARS_CERVIX_UTERI_VAGINA_VULVA	Abnormal findings in secretions and smears from cervix uteri vagina vulva	0.4187	R18_ABNORMAL_FINDI_SECRE_SMEARS_CERVIX_UTERI_VAGINA_VULVA	Abnormal findings in secretions and smears from cervix uteri vagina vulva	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.0233	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour	0.4189	R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.1192	Interstitial lung disease endpoints	RESPIRATORYINSUFF	Respiratory insufficiency	0.4191	RESPIRATORYINSUFF	Respiratory insufficiency	Interstitial lung disease endpoints
-0.136	Other	INV_VENT	Invasive ventilation	0.4191	INV_VENT	Invasive ventilation	Other
0.053	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (other cancers excluded from controls)	0.4193	CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.0313	Other	ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	0.4195	ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	Other
-0.1587	Neoplasms from hospital discharges	CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	0.42	CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	Neoplasms from hospital discharges
0.1307	Diseases of the musculoskeletal system and connective tissue	M13_SPONDYLINFLAMNAS	Other specified/unspecified inflammatory spondylopathies	0.4202	M13_SPONDYLINFLAMNAS	Other specified/unspecified inflammatory spondylopathies	Diseases of the musculoskeletal system and connective tissue
-0.1587	Neoplasms from hospital discharges	CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)	0.4206	CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)	Neoplasms from hospital discharges
0.0743	Rheuma endpoints	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	0.4208	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	Rheuma endpoints
-0.024	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_PAIN_THROAT_CHEST	Pain in throat and chest	0.4218	R18_PAIN_THROAT_CHEST	Pain in throat and chest	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
0.1523	Diseases of the circulatory system	I9_HYPTENSRD	Hypertensive Renal Disease	0.4226	I9_HYPTENSRD	Hypertensive Renal Disease	Diseases of the circulatory system
0.1029	Mental and behavioural disorders	F5_OCD	Obsessive-compulsive disorder	0.4233	F5_OCD	Obsessive-compulsive disorder	Mental and behavioural disorders
-0.2831	Neoplasms from cancer register	C3_VULVA_EXALLC	Malignant neoplasm of vulva (other cancers excluded from controls)	0.4234	C3_VULVA_EXALLC	Malignant neoplasm of vulva (other cancers excluded from controls)	Neoplasms from cancer register
-0.2836	Neoplasms from cancer register	C3_VULVA	Malignant neoplasm of vulva	0.424	C3_VULVA	Malignant neoplasm of vulva	Neoplasms from cancer register
0.034	Diseases of the circulatory system	I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages	0.4242	I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages	Diseases of the circulatory system
-0.0935	Diseases of the musculoskeletal system and connective tissue	M13_FLATFOOT	Flat foot [pes planus] (acquired)	0.4257	M13_FLATFOOT	Flat foot [pes planus] (acquired)	Diseases of the musculoskeletal system and connective tissue
-0.1905	Diseases of the nervous system	G6_PARDIPLE	Paraplegia, diplegia of upper limbs	0.4261	G6_PARDIPLE	Paraplegia, diplegia of upper limbs	Diseases of the nervous system
0.0938	Diseases of the nervous system	G6_DEMYEL	Demyelenating diseases of the central nervous system	0.4264	G6_DEMYEL	Demyelenating diseases of the central nervous system	Diseases of the nervous system
0.1814	Neoplasms from cancer register	C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	0.4274	C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	Neoplasms from cancer register
-0.1395	Endocrine, nutritional and metabolic diseases	E4_DM1NEU	Type 1 diabetes with neurological complications	0.4286	E4_DM1NEU	Type 1 diabetes with neurological complications	Endocrine, nutritional and metabolic diseases
-0.1745	Neoplasms from hospital discharges	CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)	0.4293	CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)	Neoplasms from hospital discharges
0.0741	Diseases of the musculoskeletal system and connective tissue	M13_TRIGGERFINGER	Trigger finger	0.4293	M13_TRIGGERFINGER	Trigger finger	Diseases of the musculoskeletal system and connective tissue
-0.0315	Other	OFFICIAL_TILASTOKESKUS	Alcohol related diseases, tilastokeskus definition	0.4298	OFFICIAL_TILASTOKESKUS	Alcohol related diseases, tilastokeskus definition	Other
-0.027	Pregnancy, childbirth and the puerperium	O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	0.4306	O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	Pregnancy, childbirth and the puerperium
0.2721	Diseases of the skin and subcutaneous tissue	L12_ACNE_NAS	Other  and unspecified acne	0.4321	L12_ACNE_NAS	Other  and unspecified acne	Diseases of the skin and subcutaneous tissue
-0.0316	Injury, poisoning and certain other consequences of external causes	ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle	0.4323	ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle	Injury, poisoning and certain other consequences of external causes
-0.1732	Neoplasms from hospital discharges	CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip	0.4325	CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip	Neoplasms from hospital discharges
-0.1937	Neoplasms from cancer register	C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	0.4337	C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	Neoplasms from cancer register
-0.1156	Diseases of the skin and subcutaneous tissue	L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	0.4351	L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	Diseases of the skin and subcutaneous tissue
-0.1647	Diseases of the digestive system	K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	0.4355	K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	Diseases of the digestive system
0.1298	Diseases of the musculoskeletal system and connective tissue	M13_JUVEARTH	Other juvenile arthritis	0.4356	M13_JUVEARTH	Other juvenile arthritis	Diseases of the musculoskeletal system and connective tissue
0.068	Diseases of the circulatory system	I9_OTH	Other CVD	0.4361	I9_OTH	Other CVD	Diseases of the circulatory system
-0.0906	Diseases of the skin and subcutaneous tissue	L12_SEBORRHOEIC	Seborrhoeic dermatitis	0.4367	L12_SEBORRHOEIC	Seborrhoeic dermatitis	Diseases of the skin and subcutaneous tissue
-0.1217	Neoplasms from hospital discharges	CD2_INSITU_SKIN_FACE_EXALLC	Carcinoma in situ of skin of other and unspecified parts of face (other cancers excluded from controls)	0.438	CD2_INSITU_SKIN_FACE_EXALLC	Carcinoma in situ of skin of other and unspecified parts of face (other cancers excluded from controls)	Neoplasms from hospital discharges
0.0228	Other	CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	0.4392	CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	Other
0.1003	Diseases of the eye and adnexa	H7_RETINOPATHYDIAB_NAS	Other diabetic retinopathy	0.4395	H7_RETINOPATHYDIAB_NAS	Other diabetic retinopathy	Diseases of the eye and adnexa
0.1063	Gastrointestinal endpoints	CHRONSMALL	Crohn's disease of small interstine	0.4396	CHRONSMALL	Crohn's disease of small interstine	Gastrointestinal endpoints
-0.1857	Diseases of the genitourinary system	N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallobian tube	0.4397	N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallobian tube	Diseases of the genitourinary system
0.0907	Neoplasms from hospital discharges	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)	0.4405	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.0367	Diseases of the respiratory system	J10_PNEUMOBACTEROTH	Bacterial pneumonia, not elsewhere classified	0.4416	J10_PNEUMOBACTEROTH	Bacterial pneumonia, not elsewhere classified	Diseases of the respiratory system
-0.2555	Neoplasms from hospital discharges	CD2_BENIGN_OESOPHAGUS_EXALLC	Benign neoplasm: Oesophagus (other cancers excluded from controls)	0.4419	CD2_BENIGN_OESOPHAGUS_EXALLC	Benign neoplasm: Oesophagus (other cancers excluded from controls)	Neoplasms from hospital discharges
0.2662	Endocrine, nutritional and metabolic diseases	E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	0.4419	E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	Endocrine, nutritional and metabolic diseases
-0.0372	Diseases of the musculoskeletal system and connective tissue	M13_DORSALGIANAS	Other/unspecified dorsalgia	0.4419	M13_DORSALGIANAS	Other/unspecified dorsalgia	Diseases of the musculoskeletal system and connective tissue
0.1424	Endocrine, nutritional and metabolic diseases	E4_ADRENAL	Other disorders of adrenal gland	0.442	E4_ADRENAL	Other disorders of adrenal gland	Endocrine, nutritional and metabolic diseases
0.0207	Interstitial lung disease endpoints	PULM_PNEUMONIA_SEPSIS	COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	0.4427	PULM_PNEUMONIA_SEPSIS	COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	Interstitial lung disease endpoints
0.0207	Other	COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia	0.4427	COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia	Other
-0.0578	Neoplasms from cancer register	C3_COLORECTAL	Colorectal cancer	0.4441	C3_COLORECTAL	Colorectal cancer	Neoplasms from cancer register
-0.1297	Diseases of the circulatory system	I9_RHEUFEV	Rheumatic fever incl heart disease	0.4446	I9_RHEUFEV	Rheumatic fever incl heart disease	Diseases of the circulatory system
-0.1892	Neoplasms from cancer register	C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	0.4452	C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	Neoplasms from cancer register
0.0847	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (other cancers excluded from controls)	0.446	CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (other cancers excluded from controls)	Neoplasms from hospital discharges
-0.254	Neoplasms from hospital discharges	CD2_BENIGN_OESOPHAGUS	Benign neoplasm: Oesophagus	0.4461	CD2_BENIGN_OESOPHAGUS	Benign neoplasm: Oesophagus	Neoplasms from hospital discharges
-0.0253	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_SHOUL_UPPER_ARM	Injuries to the shoulder and upper arm	0.4461	ST19_INJURI_SHOUL_UPPER_ARM	Injuries to the shoulder and upper arm	Injury, poisoning and certain other consequences of external causes
0.0388	Diseases of the circulatory system	I9_K_CARDIAC	Death due to cardiac causes	0.4475	I9_K_CARDIAC	Death due to cardiac causes	Diseases of the circulatory system
0.0831	Certain infectious and parasitic diseases	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	0.4477	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	Certain infectious and parasitic diseases
0.0847	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_CONCERNI_FOOD_FLUID_INTAKE	Symptoms and signs concerning food and fluid intake	0.4487	R18_SYMPTOMS_SIGNS_CONCERNI_FOOD_FLUID_INTAKE	Symptoms and signs concerning food and fluid intake	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified
