beta	category	phenocode	phenostring	pval	phewas_code	phewas_string	category_name	odds_ratio
-0.0664	Psychiatric endpoints	KRA_PSY_ALCOH	Alcohol abuse, main dg	0.4103	KRA_PSY_ALCOH	Alcohol abuse, main dg	Psychiatric endpoints	0.935756486826387
-0.18	Diseases of the skin and subcutaneous tissue	L12_ERYTH_NAS	Other and unspecified erythematous conditions	0.411	L12_ERYTH_NAS	Other and unspecified erythematous conditions	Diseases of the skin and subcutaneous tissue	0.835270211411272
-0.1602	Pregnancy, childbirth and the puerperium	O15_GESTAT_OEDEM_PREINUR	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	0.411	O15_GESTAT_OEDEM_PREINUR	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	Pregnancy, childbirth and the puerperium	0.851973377250158
-0.2055	Other	VWXY20_BLOOD_ALCOHOL_ALCOHOL_INTOX_LEVEL	Blood alcohol or alcohol intoxication level	0.4113	VWXY20_BLOOD_ALCOHOL_ALCOHOL_INTOX_LEVEL	Blood alcohol or alcohol intoxication level	Other	0.814240094567154
-0.1474	Neoplasms from hospital discharges	CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls)	0.4114	CD2_BENIGN_MOUTH_NOS_EXALLC	Benign neoplasm: Other and unspecified parts of mouth (other cancers excluded from controls)	Neoplasms from hospital discharges	0.862948728879664
-0.0376	Asthma and related endpoints	PNEUMOBACTKNOWN	Bacterial pneumonia (organism specified)	0.4116	PNEUMOBACTKNOWN	Bacterial pneumonia (organism specified)	Asthma and related endpoints	0.963098103094861
-0.095	Congenital malformations, deformations and chromosomal abnormalities	Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM	Congenital malformations and deformations of the musculoskeletal system	0.413	Q17_CONGEN_MALFO_DEFORMAT_MUSCULOS_SYSTEM	Congenital malformations and deformations of the musculoskeletal system	Congenital malformations, deformations and chromosomal abnormalities	0.909372934468231
-0.0918	Diseases of the nervous system	G6_DIABETNEUR	Diabethic neuropathy	0.4132	G6_DIABETNEUR	Diabethic neuropathy	Diseases of the nervous system	0.912287588818319
-0.0255	Pregnancy, childbirth and the puerperium	O15_PREG_ABORT	Pregnancy with abortive outcome	0.4138	O15_PREG_ABORT	Pregnancy with abortive outcome	Pregnancy, childbirth and the puerperium	0.974822378965741
-0.2086	Diseases of the skin and subcutaneous tissue	L12_OTHERMELANIN	Other melanin hyperpigmentation	0.4146	L12_OTHERMELANIN	Other melanin hyperpigmentation	Diseases of the skin and subcutaneous tissue	0.811719858657943
0.0222	Diseases of the musculoskeletal system and connective tissue	M13_DORSALGIA	Dorsalgia	0.4153	M13_DORSALGIA	Dorsalgia	Diseases of the musculoskeletal system and connective tissue	1.02244825367357
0.202	Diseases of the respiratory system	J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust	0.4155	J10_HYPERSPNEUMONI	Hypersensitivity pneumonitis due to organic dust	Diseases of the respiratory system	1.22384800811136
0.0707	Neoplasms from hospital discharges	CD2_BENIGN_SKIN_EYELID_EXALLC	Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)	0.4156	CD2_BENIGN_SKIN_EYELID_EXALLC	Benign neoplasm: Skin of eyelid, including canthus (other cancers excluded from controls)	Neoplasms from hospital discharges	1.07325919980692
0.1198	Gastrointestinal endpoints	CHRONLARGE	Crohn's disease of large intestine	0.4156	CHRONLARGE	Crohn's disease of large intestine	Gastrointestinal endpoints	1.12727137475749
-0.121	Other	MENINGITIS	Meningitis	0.416	MENINGITIS	Meningitis	Other	0.886033959592876
0.0859	Diseases of the musculoskeletal system and connective tissue	M13_REACTARTH	Reactive arthropathies	0.4163	M13_REACTARTH	Reactive arthropathies	Diseases of the musculoskeletal system and connective tissue	1.08969735312115
0.0529	Injury, poisoning and certain other consequences of external causes	ST19_SEQUEL_INJURI_POISO_OTHER_CONSE_EXTER_CAUSES	Sequelae of injuries, of poisoning and of other consequences of external causes	0.4164	ST19_SEQUEL_INJURI_POISO_OTHER_CONSE_EXTER_CAUSES	Sequelae of injuries, of poisoning and of other consequences of external causes	Injury, poisoning and certain other consequences of external causes	1.05432420742682
0.0431	Diseases of the genitourinary system	N14_FEMALEINFERT	Female infertility	0.4165	N14_FEMALEINFERT	Female infertility	Diseases of the genitourinary system	1.04404229385996
-0.1929	Diseases of the skin and subcutaneous tissue	L12_DERMATHERP	Dermatitis herpetiformis	0.4184	L12_DERMATHERP	Dermatitis herpetiformis	Diseases of the skin and subcutaneous tissue	0.824564426459069
-0.1137	Gastrointestinal endpoints	ULCERPROCT	Ulcerative proctitis	0.4187	ULCERPROCT	Ulcerative proctitis	Gastrointestinal endpoints	0.892525673424797
-0.0357	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_ABNORMAL_FINDI_SECRE_SMEARS_CERVIX_UTERI_VAGINA_VULVA	Abnormal findings in secretions and smears from cervix uteri vagina vulva	0.4187	R18_ABNORMAL_FINDI_SECRE_SMEARS_CERVIX_UTERI_VAGINA_VULVA	Abnormal findings in secretions and smears from cervix uteri vagina vulva	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.964929728984322
0.0233	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour	0.4189	R18_SYMPTOMS_SIGNS_INVOLVI_COGNITION_PERCEP_EMOTIONAL_STATE_BEHVI	Symptoms and signs involving cognition, perception, emotional state and behaviour	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.02357356556068
0.1192	Interstitial lung disease endpoints	RESPIRATORYINSUFF	Respiratory insufficiency	0.4191	RESPIRATORYINSUFF	Respiratory insufficiency	Interstitial lung disease endpoints	1.12659521480091
-0.136	Other	INV_VENT	Invasive ventilation	0.4191	INV_VENT	Invasive ventilation	Other	0.872842632488719
0.053	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (other cancers excluded from controls)	0.4193	CD2_BENIGN_MELANOCYTIC_EXALLC	Melanocytic naevi (other cancers excluded from controls)	Neoplasms from hospital discharges	1.05442964511936
-0.0313	Other	ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	0.4195	ALCOHOL_RELATED	Alcohol related diseases and deaths, all endoints	Other	0.969184774026142
-0.1587	Neoplasms from hospital discharges	CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	0.42	CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	Neoplasms from hospital discharges	0.853252296265497
0.1307	Diseases of the musculoskeletal system and connective tissue	M13_SPONDYLINFLAMNAS	Other specified/unspecified inflammatory spondylopathies	0.4202	M13_SPONDYLINFLAMNAS	Other specified/unspecified inflammatory spondylopathies	Diseases of the musculoskeletal system and connective tissue	1.13962584227102
-0.1587	Neoplasms from hospital discharges	CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)	0.4206	CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)	Neoplasms from hospital discharges	0.853252296265497
0.0743	Rheuma endpoints	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	0.4208	RHEUMA_NOS	Other/unspecified rheumatoid arthritis	Rheuma endpoints	1.07712989599902
-0.024	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_PAIN_THROAT_CHEST	Pain in throat and chest	0.4218	R18_PAIN_THROAT_CHEST	Pain in throat and chest	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.976285709757909
0.1523	Diseases of the circulatory system	I9_HYPTENSRD	Hypertensive Renal Disease	0.4226	I9_HYPTENSRD	Hypertensive Renal Disease	Diseases of the circulatory system	1.16450953689549
0.1029	Mental and behavioural disorders	F5_OCD	Obsessive-compulsive disorder	0.4233	F5_OCD	Obsessive-compulsive disorder	Mental and behavioural disorders	1.10838056547737
-0.2831	Neoplasms from cancer register	C3_VULVA_EXALLC	Malignant neoplasm of vulva (other cancers excluded from controls)	0.4234	C3_VULVA_EXALLC	Malignant neoplasm of vulva (other cancers excluded from controls)	Neoplasms from cancer register	0.753444439648405
-0.2836	Neoplasms from cancer register	C3_VULVA	Malignant neoplasm of vulva	0.424	C3_VULVA	Malignant neoplasm of vulva	Neoplasms from cancer register	0.753067811593441
0.034	Diseases of the circulatory system	I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages	0.4242	I9_STR_EXH	Ischaemic Stroke, excluding all haemorrhages	Diseases of the circulatory system	1.03458460672812
-0.0935	Diseases of the musculoskeletal system and connective tissue	M13_FLATFOOT	Flat foot [pes planus] (acquired)	0.4257	M13_FLATFOOT	Flat foot [pes planus] (acquired)	Diseases of the musculoskeletal system and connective tissue	0.910738017426199
-0.1905	Diseases of the nervous system	G6_PARDIPLE	Paraplegia, diplegia of upper limbs	0.4261	G6_PARDIPLE	Paraplegia, diplegia of upper limbs	Diseases of the nervous system	0.826545757729056
0.0938	Diseases of the nervous system	G6_DEMYEL	Demyelenating diseases of the central nervous system	0.4264	G6_DEMYEL	Demyelenating diseases of the central nervous system	Diseases of the nervous system	1.09834005593772
0.1814	Neoplasms from cancer register	C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	0.4274	C3_LIVER_INTRAHEPATIC3_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts (other cancers excluded from controls)	Neoplasms from cancer register	1.19889464125092
-0.1395	Endocrine, nutritional and metabolic diseases	E4_DM1NEU	Type 1 diabetes with neurological complications	0.4286	E4_DM1NEU	Type 1 diabetes with neurological complications	Endocrine, nutritional and metabolic diseases	0.869793023204399
-0.1745	Neoplasms from hospital discharges	CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)	0.4293	CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)	Neoplasms from hospital discharges	0.839876854229211
0.0741	Diseases of the musculoskeletal system and connective tissue	M13_TRIGGERFINGER	Trigger finger	0.4293	M13_TRIGGERFINGER	Trigger finger	Diseases of the musculoskeletal system and connective tissue	1.07691449156098
-0.0315	Other	OFFICIAL_TILASTOKESKUS	Alcohol related diseases, tilastokeskus definition	0.4298	OFFICIAL_TILASTOKESKUS	Alcohol related diseases, tilastokeskus definition	Other	0.96899095645374
-0.027	Pregnancy, childbirth and the puerperium	O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	0.4306	O15_MATERN_CARE	Maternal care related to the fetus and amniotic cavity and possible delivery problems	Pregnancy, childbirth and the puerperium	0.973361241524337
0.2721	Diseases of the skin and subcutaneous tissue	L12_ACNE_NAS	Other  and unspecified acne	0.4321	L12_ACNE_NAS	Other  and unspecified acne	Diseases of the skin and subcutaneous tissue	1.31271826657439
-0.0316	Injury, poisoning and certain other consequences of external causes	ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle	0.4323	ST19_FRACT_LOWER_LEG_INCLU_ANKLE	Fracture of lower leg, including ankle	Injury, poisoning and certain other consequences of external causes	0.968894062202888
-0.1732	Neoplasms from hospital discharges	CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip	0.4325	CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip	Neoplasms from hospital discharges	0.840969404143285
-0.1937	Neoplasms from cancer register	C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	0.4337	C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (other cancers excluded from controls)	Neoplasms from cancer register	0.82390503870817
-0.1156	Diseases of the skin and subcutaneous tissue	L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	0.4351	L12_CHRONICULCEROFSKIN	Chronic ulcer of skin, not elsewhere classified	Diseases of the skin and subcutaneous tissue	0.890831484634309
-0.1647	Diseases of the digestive system	K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	0.4355	K11_POSTOPDIS	Postprocedural disorders of digestive system, not elsewhere classified	Diseases of the digestive system	0.848148110358175
0.1298	Diseases of the musculoskeletal system and connective tissue	M13_JUVEARTH	Other juvenile arthritis	0.4356	M13_JUVEARTH	Other juvenile arthritis	Diseases of the musculoskeletal system and connective tissue	1.13860064042301
0.068	Diseases of the circulatory system	I9_OTH	Other CVD	0.4361	I9_OTH	Other CVD	Diseases of the circulatory system	1.07036530847877
-0.0906	Diseases of the skin and subcutaneous tissue	L12_SEBORRHOEIC	Seborrhoeic dermatitis	0.4367	L12_SEBORRHOEIC	Seborrhoeic dermatitis	Diseases of the skin and subcutaneous tissue	0.913382991034782
-0.1217	Neoplasms from hospital discharges	CD2_INSITU_SKIN_FACE_EXALLC	Carcinoma in situ of skin of other and unspecified parts of face (other cancers excluded from controls)	0.438	CD2_INSITU_SKIN_FACE_EXALLC	Carcinoma in situ of skin of other and unspecified parts of face (other cancers excluded from controls)	Neoplasms from hospital discharges	0.885413952848838
0.0228	Other	CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	0.4392	CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	Other	1.02306190670327
0.1063	Gastrointestinal endpoints	CHRONSMALL	Crohn's disease of small interstine	0.4396	CHRONSMALL	Crohn's disease of small interstine	Gastrointestinal endpoints	1.11215547310647
-0.1857	Diseases of the genitourinary system	N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallobian tube	0.4397	N14_OVARTORS	Torsion of ovary, ovarian pedicle and fallobian tube	Diseases of the genitourinary system	0.830522714426476
0.0907	Neoplasms from hospital discharges	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)	0.4405	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)	Neoplasms from hospital discharges	1.09494047383906
-0.0367	Diseases of the respiratory system	J10_PNEUMOBACTEROTH	Bacterial pneumonia, not elsewhere classified	0.4416	J10_PNEUMOBACTEROTH	Bacterial pneumonia, not elsewhere classified	Diseases of the respiratory system	0.963965281559421
-0.2555	Neoplasms from hospital discharges	CD2_BENIGN_OESOPHAGUS_EXALLC	Benign neoplasm: Oesophagus (other cancers excluded from controls)	0.4419	CD2_BENIGN_OESOPHAGUS_EXALLC	Benign neoplasm: Oesophagus (other cancers excluded from controls)	Neoplasms from hospital discharges	0.774529136560521
0.2662	Endocrine, nutritional and metabolic diseases	E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	0.4419	E4_HYPEROSMHNAT	Hyperosmolality and hypernatraemia	Endocrine, nutritional and metabolic diseases	1.30499603179511
-0.0372	Diseases of the musculoskeletal system and connective tissue	M13_DORSALGIANAS	Other/unspecified dorsalgia	0.4419	M13_DORSALGIANAS	Other/unspecified dorsalgia	Diseases of the musculoskeletal system and connective tissue	0.963483419394221
0.1424	Endocrine, nutritional and metabolic diseases	E4_ADRENAL	Other disorders of adrenal gland	0.442	E4_ADRENAL	Other disorders of adrenal gland	Endocrine, nutritional and metabolic diseases	1.15303777141485
0.0207	Interstitial lung disease endpoints	PULM_PNEUMONIA_SEPSIS	COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	0.4427	PULM_PNEUMONIA_SEPSIS	COPD/asthma/ILD related pneumonia or pneumonia derived septichaemia	Interstitial lung disease endpoints	1.02091573097243
0.0207	Other	COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia	0.4427	COPD_ASTHMA_PNEUMONIA_SEPSIS	COPD/asthma related pneumonia or pneumonia derived septichaemia	Other	1.02091573097243
-0.0578	Neoplasms from cancer register	C3_COLORECTAL	Colorectal cancer	0.4441	C3_COLORECTAL	Colorectal cancer	Neoplasms from cancer register	0.943838696300543
-0.1297	Diseases of the circulatory system	I9_RHEUFEV	Rheumatic fever incl heart disease	0.4446	I9_RHEUFEV	Rheumatic fever incl heart disease	Diseases of the circulatory system	0.878358899068084
-0.1892	Neoplasms from cancer register	C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	0.4452	C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	Neoplasms from cancer register	0.827620965948021
0.0847	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (other cancers excluded from controls)	0.446	CD2_BENIGN_MELANOCYTIC_TRUNK_EXALLC	Melanocytic naevi of trunk (other cancers excluded from controls)	Neoplasms from hospital discharges	1.08839050056576
-0.254	Neoplasms from hospital discharges	CD2_BENIGN_OESOPHAGUS	Benign neoplasm: Oesophagus	0.4461	CD2_BENIGN_OESOPHAGUS	Benign neoplasm: Oesophagus	Neoplasms from hospital discharges	0.775691802046476
-0.0253	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_SHOUL_UPPER_ARM	Injuries to the shoulder and upper arm	0.4461	ST19_INJURI_SHOUL_UPPER_ARM	Injuries to the shoulder and upper arm	Injury, poisoning and certain other consequences of external causes	0.975017362939282
0.0388	Diseases of the circulatory system	I9_K_CARDIAC	Death due to cardiac causes	0.4475	I9_K_CARDIAC	Death due to cardiac causes	Diseases of the circulatory system	1.03956255034745
0.0831	Certain infectious and parasitic diseases	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	0.4477	AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	Certain infectious and parasitic diseases	1.08665046816198
0.0847	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_SYMPTOMS_SIGNS_CONCERNI_FOOD_FLUID_INTAKE	Symptoms and signs concerning food and fluid intake	0.4487	R18_SYMPTOMS_SIGNS_CONCERNI_FOOD_FLUID_INTAKE	Symptoms and signs concerning food and fluid intake	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.08839050056576
0.1521	Diseases of the nervous system	G6_MEDLEOTH	Other lesions of median nerve	0.4492	G6_MEDLEOTH	Other lesions of median nerve	Diseases of the nervous system	1.16427665827675
-0.0351	Diseases of the respiratory system	J10_PNEUMOBACT	Bacterial pneumoniae	0.4497	J10_PNEUMOBACT	Bacterial pneumoniae	Diseases of the respiratory system	0.965508860543807
0.0494	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC	Melanocytic naevi	0.4498	CD2_BENIGN_MELANOCYTIC	Melanocytic naevi	Neoplasms from hospital discharges	1.05064052290916
-0.1764	Neoplasms from hospital discharges	CD2_BENIGN_VAGINA	Benign neoplasm: Vulva	0.4507	CD2_BENIGN_VAGINA	Benign neoplasm: Vulva	Neoplasms from hospital discharges	0.838282603224234
-0.2703	Neoplasms from hospital discharges	CD2_BENIGN_BRONCHUS_LUNG_EXALLC	Benign neoplasm: Bronchus and lung (other cancers excluded from controls)	0.4517	CD2_BENIGN_BRONCHUS_LUNG_EXALLC	Benign neoplasm: Bronchus and lung (other cancers excluded from controls)	Neoplasms from hospital discharges	0.763150514837195
-0.0494	Diseases of the respiratory system	J10_PERITONSABSC	Peritonsillar abscess	0.4517	J10_PERITONSABSC	Peritonsillar abscess	Diseases of the respiratory system	0.95180033341096
0.2112	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_OTHER_ABNORMAL_IMMUNOL_FINDI_SERUM	Other abnormal immunological findings in serum	0.4518	R18_OTHER_ABNORMAL_IMMUNOL_FINDI_SERUM	Other abnormal immunological findings in serum	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.2351593622323
-0.2699	Neoplasms from hospital discharges	CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung	0.4521	CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung	Neoplasms from hospital discharges	0.763455836103312
0.1634	Neoplasms from hospital discharges	CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (other cancers excluded from controls)	0.4532	CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (other cancers excluded from controls)	Neoplasms from hospital discharges	1.17750759853983
0.1287	Diseases of the musculoskeletal system and connective tissue	M13_DORSOPATHYNAS	Other specified/unspecified dorsopathies	0.4532	M13_DORSOPATHYNAS	Other specified/unspecified dorsopathies	Diseases of the musculoskeletal system and connective tissue	1.13734886831942
0.0979	Diseases of the skin and subcutaneous tissue	L12_LICHENSCLERATROPH	Lichen sclerosus et atrophicus	0.4542	L12_LICHENSCLERATROPH	Lichen sclerosus et atrophicus	Diseases of the skin and subcutaneous tissue	1.10285249434463
0.1497	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_INVOLVI_MULTIPLE_BODY_REGIONS	Injuries involving multiple body regions	0.4544	ST19_INJURI_INVOLVI_MULTIPLE_BODY_REGIONS	Injuries involving multiple body regions	Injury, poisoning and certain other consequences of external causes	1.16148574473278
-0.0323	Diseases of the ear and mastoid process	H8_INNER	Diseases of inner ear	0.4548	H8_INNER	Diseases of inner ear	Diseases of the ear and mastoid process	0.968216073683012
0.0168	Interstitial lung disease endpoints	ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	0.4552	ACUTE_RESPIRATORY_INFECTIONS	Asthma/COPD-related acute respiratory infections	Interstitial lung disease endpoints	1.01694191360233
0.0168	Asthma and related endpoints	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	0.4552	ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	1.01694191360233
0.1621	Neoplasms from hospital discharges	CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	0.4552	CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	Neoplasms from hospital discharges	1.17597783322463
-0.1476	Diseases of the circulatory system	I9_SECONDRIGHT	Secondary right heart disease	0.4554	I9_SECONDRIGHT	Secondary right heart disease	Diseases of the circulatory system	0.862776156391712
0.0486	Pregnancy, childbirth and the puerperium	O15_PRE_OR_ECLAMPSIA	Pre-eclampsia or eclampsia	0.4559	O15_PRE_OR_ECLAMPSIA	Pre-eclampsia or eclampsia	Pregnancy, childbirth and the puerperium	1.04980034660616
0.0701	Other	CONGEN_HEART_ARTER	Congenital malformations of heart and great arteries	0.4561	CONGEN_HEART_ARTER	Congenital malformations of heart and great arteries	Other	1.07261543743506
0.0872	Neoplasms from hospital discharges	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site	0.4564	CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site	Neoplasms from hospital discharges	1.09111488087361
0.0284	Endocrine, nutritional and metabolic diseases	HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases	0.4564	HYPOTHY_PURCHASE	Hypothyroidism and >3 levothyroxin purchases	Endocrine, nutritional and metabolic diseases	1.02880712497782
0.2245	Diseases of the skin and subcutaneous tissue	L12_LOCALSCLERODERMA	Localized scleroderma [morphea]	0.4569	L12_LOCALSCLERODERMA	Localized scleroderma [morphea]	Diseases of the skin and subcutaneous tissue	1.25169671134802
-0.03	Other	AUD_SWEDISH	Alcohol use disorder, Swedish definition	0.4573	AUD_SWEDISH	Alcohol use disorder, Swedish definition	Other	0.970445533548508
0.0431	Diseases of the skin and subcutaneous tissue	L12_URTICARIA	Urticaria	0.4576	L12_URTICARIA	Urticaria	Diseases of the skin and subcutaneous tissue	1.04404229385996
-0.0841	Diabetes endpoints	DM_NEUROPATHY	Diabetic neuropathy	0.4581	DM_NEUROPATHY	Diabetic neuropathy	Diabetes endpoints	0.919339317566518
0.0835	Endocrine, nutritional and metabolic diseases	E4_DM1KETO	Type 1 diabetes with ketoacidosis	0.4582	E4_DM1KETO	Type 1 diabetes with ketoacidosis	Endocrine, nutritional and metabolic diseases	1.08708521529288
0.0821	Neoplasms from hospital discharges	CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk	0.4585	CD2_BENIGN_MELANOCYTIC_TRUNK	Melanocytic naevi of trunk	Neoplasms from hospital discharges	1.08556436083799
-0.2049	Neoplasms from hospital discharges	CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial	0.4592	CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial	Neoplasms from hospital discharges	0.814728785216428
-0.0604	Injury, poisoning and certain other consequences of external causes	ST19_SUPERF_INJURY_WRIST_HAND	Superficial injury of wrist and hand	0.4599	ST19_SUPERF_INJURY_WRIST_HAND	Superficial injury of wrist and hand	Injury, poisoning and certain other consequences of external causes	0.941387903101933
0.2228	Endocrine, nutritional and metabolic diseases	E4_ACIDOSIS	Acidosis	0.4605	E4_ACIDOSIS	Acidosis	Endocrine, nutritional and metabolic diseases	1.24957063461598
-0.1077	Mental and behavioural disorders	F5_MENTRET	Mental retardation	0.4608	F5_MENTRET	Mental retardation	Mental and behavioural disorders	0.897896925106645
0.1734	Mental and behavioural disorders	F5_AUTISM	Autism	0.4643	F5_AUTISM	Autism	Mental and behavioural disorders	1.18934174664804
-0.1134	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS	Other symptoms and signs involving the circulatory and respiratory systems	0.4655	R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_CIRCULATO_RESPI_SYSTEMS	Other symptoms and signs involving the circulatory and respiratory systems	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	0.892793471294496
-0.1317	Other	VWXY20_SUPPLE_FACTO_RELATED_CAUSES_MORBIDI_MORTA_CLASSIFIED_ELSEW	Supplementary factors related to causes of morbidity and mortality classified elsewhere	0.4656	VWXY20_SUPPLE_FACTO_RELATED_CAUSES_MORBIDI_MORTA_CLASSIFIED_ELSEW	Supplementary factors related to causes of morbidity and mortality classified elsewhere	Other	0.876603936817186
0.0909	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	R18_HEARTBURN	Heartburn	0.4656	R18_HEARTBURN	Heartburn	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	1.0951594838341
0.0625	Diseases of the circulatory system	I9_AORTANEUR	Aortic aneurysm	0.4657	I9_AORTANEUR	Aortic aneurysm	Diseases of the circulatory system	1.06449445891786
0.0963	Injury, poisoning and certain other consequences of external causes	ST19_INJURI_UNSPE_PART_TRUNK_LIMB_BODY_REGION	Injuries to unspecified part of trunk, limb or body region	0.466	ST19_INJURI_UNSPE_PART_TRUNK_LIMB_BODY_REGION	Injuries to unspecified part of trunk, limb or body region	Injury, poisoning and certain other consequences of external causes	1.10108934125229
0.1988	Endocrine, nutritional and metabolic diseases	E4_TESTICHYPO	Testicular hypofunction	0.4662	E4_TESTICHYPO	Testicular hypofunction	Endocrine, nutritional and metabolic diseases	1.21993795390871
